x_pixel,y_pixel,R_x(pc),R_y(pc),R_z(pc),v_exp(km/s,)Flux()
51,15,0.005219,-0.026962,-0.027531,673.564190,273.698120
51,15,0.005219,-0.026962,-0.024463,623.291443,534.471191
51,15,0.005219,-0.026962,-0.014239,578.358692,337.146515
51,15,0.005219,-0.026962,-0.014765,540.100343,173.599319
52,15,0.006088,-0.026962,-0.022675,675.786579,189.237030
52,15,0.006088,-0.026962,-0.025015,625.692421,455.183075
52,15,0.006088,-0.026962,-0.014456,580.945402,441.386322
53,15,0.006958,-0.026962,-0.026583,678.341827,326.159943
53,15,0.006958,-0.026962,-0.025175,628.451382,558.070312
53,15,0.006958,-0.026962,-0.015301,583.915827,401.370087
54,15,0.007828,-0.026962,-0.027062,681.226188,385.648010
54,15,0.007828,-0.026962,-0.023254,631.563635,245.995941
54,15,0.007828,-0.026962,-0.019065,587.264147,243.266190
55,15,0.008698,-0.026962,-0.032076,738.140570,155.927505
55,15,0.008698,-0.026962,-0.031378,684.435502,301.059296
55,15,0.008698,-0.026962,-0.026426,635.023984,500.751190
55,15,0.008698,-0.026962,-0.017344,590.983938,408.420380
55,15,0.008698,-0.026962,-0.017136,553.598788,243.078995
56,15,0.009567,-0.026962,-0.030159,687.965220,265.141846
56,15,0.009567,-0.026962,-0.021597,638.826775,442.169678
56,15,0.009567,-0.026962,-0.018138,595.068233,223.351364
57,15,0.010437,-0.026962,-0.030115,691.810438,235.950134
57,15,0.010437,-0.026962,-0.023286,642.965930,350.703094
57,15,0.010437,-0.026962,-0.015319,599.509584,322.838959
57,15,0.010437,-0.026962,-0.014856,562.691163,201.122696
58,15,0.011307,-0.026962,-0.025976,695.965927,187.755630
58,15,0.011307,-0.026962,-0.023981,647.434998,425.224976
58,15,0.011307,-0.026962,-0.021891,604.300117,318.366913
58,15,0.011307,-0.026962,-0.016353,567.792422,169.022964
59,15,0.012177,-0.026962,-0.022929,700.426165,301.179565
59,15,0.012177,-0.026962,-0.023407,652.227198,372.513153
59,15,0.012177,-0.026962,-0.021023,609.431598,324.550476
59,15,0.012177,-0.026962,-0.016427,573.250796,227.995468
60,15,0.013046,-0.026962,-0.024547,705.185370,212.826950
60,15,0.013046,-0.026962,-0.021609,657.335463,439.457489
60,15,0.013046,-0.026962,-0.020674,614.895491,441.729126
60,15,0.013046,-0.026962,-0.011840,579.056187,268.694275
61,15,0.013916,-0.026962,-0.028666,710.237530,180.315933
61,15,0.013916,-0.026962,-0.022307,662.752483,295.634399
61,15,0.013916,-0.026962,-0.016651,620.683017,383.768799
61,15,0.013916,-0.026962,-0.015597,585.198267,153.038757
62,15,0.014786,-0.026962,-0.018522,668.470754,189.615555
62,15,0.014786,-0.026962,-0.021588,626.785212,377.043243
62,15,0.014786,-0.026962,-0.010424,591.666550,189.427277
63,15,0.015656,-0.026962,-0.024508,674.482612,294.722961
63,15,0.015656,-0.026962,-0.015779,633.192979,330.875214
63,15,0.015656,-0.026962,-0.013246,598.450459,225.417450
64,15,0.016525,-0.026962,-0.028377,727.088912,213.425476
64,15,0.016525,-0.026962,-0.024025,680.780281,206.613922
64,15,0.016525,-0.026962,-0.015087,639.897137,257.550262
64,15,0.016525,-0.026962,-0.015254,605.539387,153.558441
64,15,0.016525,-0.026962,-0.009856,578.870107,161.852081
65,15,0.017395,-0.026962,-0.023281,687.355905,328.676880
65,15,0.017395,-0.026962,-0.022910,646.888471,268.308777
65,15,0.017395,-0.026962,-0.010649,612.922750,232.935196
66,15,0.018265,-0.026962,-0.031215,789.627683,152.437012
66,15,0.018265,-0.026962,-0.030624,739.670423,160.552399
66,15,0.018265,-0.026962,-0.020130,694.201584,199.977890
66,15,0.018265,-0.026962,-0.015562,654.157774,331.371338
66,15,0.018265,-0.026962,-0.012130,620.590039,250.699966
67,15,0.019135,-0.026962,-0.019793,701.309411,182.333481
67,15,0.019135,-0.026962,-0.019779,661.695885,154.093262
67,15,0.019135,-0.026962,-0.010977,628.530864,164.628113
67,15,0.019135,-0.026962,-0.005944,602.879507,156.598114
68,15,0.020004,-0.026962,-0.027249,708.671497,159.063034
68,15,0.020004,-0.026962,-0.017783,636.734991,204.648117
69,15,0.020874,-0.026962,-0.026512,716.280004,185.615982
