x_pixel,y_pixel,R_x(pc),R_y(pc),R_z(pc),v_exp(km/s,)Flux()
72,12,0.023483,-0.029572,-0.016494,721.107037,168.122162
72,12,0.023483,-0.029572,-0.015484,693.501066,152.564896
6,13,-0.033920,-0.028702,-0.059296,1315.826209,164.425201
25,13,-0.017395,-0.028702,-0.019354,654.712015,164.950699
41,13,-0.003479,-0.028702,0.000091,508.494825,154.404724
44,13,-0.000870,-0.028702,-0.006164,519.989899,154.457657
46,13,0.000870,-0.028702,-0.025069,671.092393,170.141174
47,13,0.001740,-0.028702,-0.025473,623.086198,179.065201
47,13,0.001740,-0.028702,-0.008351,546.121468,199.905762
49,13,0.003479,-0.028702,-0.020239,625.303540,160.745193
49,13,0.003479,-0.028702,-0.017346,583.153834,162.201096
50,13,0.004349,-0.028702,-0.028284,675.204572,150.178116
50,13,0.004349,-0.028702,-0.018783,584.931171,164.792236
50,13,0.004349,-0.028702,-0.008221,550.538686,161.201218
50,13,0.004349,-0.028702,-0.003380,510.532142,193.387436
51,13,0.005219,-0.028702,-0.006785,513.011208,163.999451
52,13,0.006088,-0.028702,-0.025199,679.291858,171.992416
52,13,0.006088,-0.028702,-0.024584,631.361079,161.202698
53,13,0.006958,-0.028702,-0.025529,681.833970,169.313705
53,13,0.006958,-0.028702,-0.024760,634.095376,225.665054
53,13,0.006958,-0.028702,-0.014484,592.571365,189.280167
53,13,0.006958,-0.028702,-0.011908,558.649437,227.274750
53,13,0.006958,-0.028702,-0.001660,519.268154,156.496628
54,13,0.007828,-0.028702,-0.027243,684.703620,155.807510
54,13,0.007828,-0.028702,-0.020580,637.180061,174.155014
54,13,0.007828,-0.028702,-0.018181,595.871049,169.444321
54,13,0.007828,-0.028702,-0.010098,562.148271,192.686615
54,13,0.007828,-0.028702,-0.007244,537.441665,159.762589
55,13,0.008698,-0.028702,-0.018279,599.537442,157.828308
55,13,0.008698,-0.028702,-0.012515,566.033139,196.526886
55,13,0.008698,-0.028702,-0.000715,527.203696,168.333145
56,13,0.009567,-0.028702,-0.025043,644.379899,151.725983
57,13,0.010437,-0.028702,-0.011599,550.795883,150.383652
58,13,0.011307,-0.028702,-0.033130,806.481999,169.603577
59,13,0.012177,-0.028702,-0.028526,755.017782,171.880325
63,13,0.015656,-0.028702,-0.020427,679.744511,167.326645
63,13,0.015656,-0.028702,-0.018287,641.183653,150.160843
64,13,0.016525,-0.028702,-0.013230,647.805121,171.603149
64,13,0.016525,-0.028702,-0.012308,616.927747,150.894440
66,13,0.018265,-0.028702,-0.018847,699.315126,167.844330
66,13,0.018265,-0.028702,-0.014298,661.895401,229.590485
69,13,0.020874,-0.028702,-0.009890,655.892596,195.744385
70,13,0.021744,-0.028702,-0.024764,770.912817,152.087708
